Number of Vehicles,Road Surface,Lighting Conditions,Weather Conditions,Casualty Victim,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
2,2,1,3,3,1,2,23,4
2,2,2,4,2,1,1,13,4
2,2,2,4,1,1,2,45,4
1,3,2,4,3,1,1,52,4
1,3,2,4,3,1,1,28,4
1,3,2,4,1,1,1,70,4
1,2,2,1,1,1,2,22,4
2,2,2,4,2,1,1,22,4
3,3,1,1,1,1,2,33,4
1,3,1,1,1,1,2,53,4
1,2,1,4,1,1,2,20,4
2,2,1,1,1,1,1,41,4
2,2,1,1,2,2,1,43,4
2,2,1,1,1,1,1,56,4
2,2,1,1,1,1,2,22,4
1,3,1,4,3,1,2,38,6
2,2,1,1,1,1,1,41,6
2,2,1,1,1,1,1,51,4
2,2,1,1,1,1,1,49,4
1,3,1,1,3,2,2,38,4
1,3,1,1,3,1,1,8,4
1,3,2,1,1,1,1,18,4
2,2,2,1,2,1,1,49,4
2,2,2,1,2,1,2,47,4
2,2,1,1,1,1,2,19,4
2,2,1,1,2,1,1,28,4
1,1,2,1,2,1,2,23,6
2,1,1,1,2,1,1,40,4
1,1,1,1,2,2,1,84,6
1,2,3,1,1,1,1,30,4
1,1,1,1,1,2,1,77,2
1,1,1,1,1,1,1,80,4
2,1,1,1,1,1,1,57,4
1,1,2,1,3,1,1,54,4
1,1,2,1,3,1,2,18,4
2,1,2,1,1,1,2,51,4
3,1,1,1,1,1,1,41,2
2,1,3,1,1,1,1,21,2
2,1,1,1,1,1,2,58,4
2,1,1,1,2,1,2,25,4
2,2,2,1,1,1,2,51,4
2,2,2,1,2,1,2,24,4
3,2,2,1,1,1,2,25,4
3,2,2,1,2,1,2,23,4
3,2,2,1,1,1,1,38,4
3,1,1,1,1,1,1,24,2
1,1,1,1,3,1,2,50,4
2,1,1,1,1,1,1,20,2
2,1,1,1,1,2,2,29,4
2,1,1,1,2,1,2,26,4
2,1,2,1,2,1,2,21,4
1,2,2,1,1,1,1,38,2
2,1,1,1,1,1,2,40,4
2,1,1,1,1,1,2,41,4
2,1,1,1,2,1,2,14,4
2,1,1,1,1,1,1,57,4
2,1,1,1,1,1,2,46,4
1,1,1,1,3,1,1,6,4
1,1,1,1,3,2,1,23,4
2,1,1,1,1,1,2,46,4
2,1,2,1,1,1,2,59,4
2,1,2,1,2,1,2,59,4
2,1,2,1,1,1,1,22,2
1,1,1,1,3,1,2,53,6
2,1,2,1,1,1,1,38,4
2,1,2,1,2,1,2,31,4
2,1,2,1,1,1,1,27,4
2,1,1,1,1,1,1,15,2
3,1,1,1,1,1,1,32,4
3,1,1,1,1,1,2,33,4
2,2,1,2,1,1,2,25,4
2,1,1,1,1,2,2,23,4
2,1,1,1,2,1,2,25,4
2,2,3,1,1,1,2,54,4
3,2,2,1,1,1,2,41,4
2,2,2,2,1,1,1,25,4
2,2,2,2,2,1,2,17,4
2,2,1,1,1,1,1,26,2
2,2,1,1,1,1,1,68,4
2,1,1,1,1,1,1,25,4
2,1,1,1,2,1,1,32,4
1,1,1,1,2,2,2,66,6
1,1,1,1,3,1,1,22,4
2,1,1,1,1,1,2,26,2
2,1,1,1,1,1,2,54,4
2,1,2,1,1,1,2,51,4
3,1,1,1,2,1,1,19,4
2,1,1,1,1,1,1,24,2
2,2,1,1,1,1,1,13,2
2,1,1,1,1,1,1,63,4
2,1,1,1,1,1,2,43,4
2,1,1,1,2,1,1,5,4
2,1,1,1,2,1,2,9,4
2,1,2,1,1,1,2,31,4
2,1,3,1,1,1,1,52,4
3,1,1,1,1,1,2,40,4
2,2,1,1,1,1,1,24,2
2,1,1,1,1,1,2,48,4
1,1,1,1,1,1,2,36,4
1,1,1,1,2,1,2,21,4
1,1,1,1,2,1,1,2,4
2,1,2,1,1,1,1,36,4
1,2,1,1,1,1,1,48,2
1,1,1,1,2,2,2,23,4
2,2,2,1,1,1,2,22,4
2,2,2,1,1,1,2,32,4
2,1,1,1,1,1,1,23,4
2,1,1,1,2,1,1,22,4
2,1,1,1,2,1,1,21,6
2,1,1,1,2,1,1,24,6
1,1,2,1,3,2,1,66,6
2,1,1,1,1,1,1,42,2
2,1,2,1,2,1,2,19,4
2,1,2,1,1,1,1,18,4
2,1,2,1,2,1,2,21,4
1,2,2,1,1,1,1,33,4
1,2,2,1,2,1,2,33,4
1,2,1,1,3,1,1,64,4
1,2,3,1,3,1,2,25,4
2,2,1,1,1,2,1,21,4
2,2,1,1,2,2,1,24,4
2,2,1,1,1,2,2,26,4
2,2,1,1,2,2,1,34,4
1,1,1,1,3,1,2,12,6
3,2,2,1,1,1,2,44,4
1,2,2,1,3,1,2,21,4
2,1,1,1,1,1,2,32,2
3,1,1,1,1,1,2,55,2
1,1,1,1,2,1,2,74,6
1,1,3,1,1,1,2,20,4
1,2,2,1,1,1,1,18,4
1,2,2,1,2,1,1,18,4
1,2,2,1,2,1,1,18,4
1,2,2,2,1,2,1,46,4
2,1,1,1,1,1,1,62,4
2,2,1,1,1,1,2,29,2
2,1,2,1,1,1,1,29,2
1,1,1,1,3,1,1,18,4
1,1,1,1,1,1,1,51,4
1,1,2,1,3,2,2,19,4
1,1,2,1,3,1,1,20,4
1,2,1,1,1,1,1,25,2
2,1,1,1,1,1,2,19,2
2,1,1,1,1,1,1,29,4
2,1,1,1,1,1,1,26,4
2,1,1,1,1,1,2,29,4
2,2,3,1,1,2,1,52,4
2,2,3,1,2,1,1,10,4
2,2,3,1,1,1,1,32,4
2,2,3,1,2,1,2,21,4
2,2,3,1,2,2,1,8,4
2,2,3,1,2,1,1,11,4
2,2,3,1,2,1,2,6,4
1,1,1,1,2,1,2,82,6
