Number of Vehicles,Road Surface,Lighting Conditions,Weather Conditions,Casualty Victim,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
1,1,1,1,1,2,1,51,6
3,1,1,1,1,1,1,40,4
3,1,1,1,1,1,2,47,4
3,1,1,1,1,1,2,40,4
1,4,1,2,1,1,1,39,4
1,2,1,2,3,1,2,48,4
2,2,2,1,1,2,2,25,2
2,1,1,1,1,1,2,40,4
2,1,1,1,1,1,1,28,6
1,1,1,1,3,1,2,45,6
2,1,1,1,1,1,2,67,2
1,2,2,1,3,2,1,53,4
2,1,3,1,1,2,2,28,4
2,1,1,1,1,1,1,45,6
1,1,1,1,3,1,1,78,4
1,2,1,1,1,1,1,26,4
1,2,1,1,2,1,2,27,4
1,1,2,1,3,1,1,44,4
2,2,2,2,1,1,1,53,4
2,2,2,2,1,1,2,43,4
2,2,2,2,2,1,1,14,4
2,2,2,2,2,1,1,13,4
3,2,1,1,1,1,1,29,4
3,2,1,1,1,1,2,50,6
3,2,1,1,2,1,2,22,6
3,2,1,1,2,1,2,34,6
2,1,1,1,1,1,1,28,4
2,1,1,1,1,1,1,46,4
1,1,1,1,3,1,2,24,4
1,1,2,1,1,2,1,39,6
2,1,1,1,2,1,2,44,6
2,1,1,1,1,1,2,27,4
2,1,1,1,1,1,2,42,4
2,2,2,1,1,1,1,21,4
2,2,2,1,2,1,2,52,4
2,2,2,1,2,1,2,26,4
2,2,2,1,1,1,1,32,4
2,2,2,1,2,1,2,39,4
2,2,2,1,2,1,2,35,4
2,2,1,1,1,1,1,20,4
2,2,1,1,1,1,2,48,4
2,2,1,1,1,1,1,45,2
1,2,1,1,3,2,1,20,6
2,1,1,1,1,1,1,24,6
2,1,1,1,2,1,1,31,6
7,1,1,1,1,1,1,20,4
7,1,1,1,2,1,1,46,4
7,1,1,1,1,1,2,37,4
7,1,1,1,1,1,1,39,4
7,1,1,1,2,1,1,22,4
2,1,2,1,2,1,1,6,4
2,2,2,1,1,1,1,35,4
3,1,1,1,1,1,2,45,4
3,1,1,1,1,1,1,28,4
3,1,1,1,2,1,1,25,4
1,1,2,1,1,1,1,48,2
1,1,2,1,1,1,1,40,4
2,1,2,1,3,1,1,20,4
2,2,1,1,1,1,1,36,4
2,1,1,1,1,1,2,20,2
2,1,2,1,1,1,2,54,4
2,1,2,1,2,1,2,90,4
2,2,1,3,1,2,1,20,2
1,1,1,1,3,2,2,90,2
1,1,1,2,3,1,2,39,4
3,2,1,1,1,1,2,31,4
3,2,1,1,2,1,2,57,4
1,3,1,4,1,1,2,38,4
2,2,1,3,2,1,1,15,4
2,2,1,3,1,1,1,43,4
3,3,1,4,1,1,2,60,4
3,3,1,4,2,2,2,82,4
3,3,1,4,1,1,1,80,4
3,3,1,4,1,1,1,44,4
2,1,1,1,2,1,1,2,4
2,1,1,1,2,1,2,91,4
1,2,2,1,3,1,1,59,6
5,2,1,2,2,1,1,19,4
2,1,1,1,1,1,1,24,4
2,1,1,1,1,1,2,42,4
2,1,1,1,1,1,1,83,4
2,1,1,1,2,1,2,60,4
2,1,1,1,1,1,1,42,2
3,1,1,1,1,1,1,62,4
3,1,1,1,1,1,2,23,4
2,2,1,2,1,1,1,57,4
3,1,1,1,1,1,1,82,4
2,1,1,1,1,1,1,26,2
2,1,1,1,1,1,2,43,4
2,1,2,1,1,1,1,50,2
2,1,1,1,1,1,2,23,4
3,1,1,1,1,1,1,20,2
3,1,1,1,1,1,2,19,2
2,1,1,1,1,1,1,25,4
1,1,1,1,2,1,2,60,6
1,1,1,1,1,1,2,60,4
1,1,1,1,2,1,1,46,6
2,1,2,1,1,1,2,39,4
2,1,1,1,1,1,2,43,4
2,1,1,1,1,1,1,57,4
2,1,1,1,1,2,1,21,4
2,1,1,1,2,1,1,24,4
1,1,1,1,3,1,2,3,4
2,1,1,1,1,1,1,38,6
2,1,2,1,1,1,1,26,4
1,1,2,1,3,1,1,20,4
1,1,1,1,1,2,1,21,4
1,1,1,1,2,3,1,14,4
1,1,1,1,2,3,1,13,4
1,1,1,1,2,2,1,15,4
1,1,1,1,2,2,1,14,4
2,1,1,1,1,2,1,29,2
1,1,1,1,2,1,2,84,6
2,1,1,1,1,1,1,46,4
2,1,2,1,1,1,2,57,4
2,1,1,1,1,1,2,28,2
2,1,2,1,1,1,1,49,4
4,1,2,1,2,1,2,40,4
2,1,1,1,1,1,1,43,2
2,1,1,1,1,1,1,34,6
2,1,1,1,1,1,1,28,2
2,1,1,1,1,1,1,45,2
2,1,2,1,1,1,1,40,2
2,1,2,1,1,1,1,34,2
1,1,1,1,3,2,1,32,4
2,1,2,1,1,1,2,37,4
2,1,2,1,2,1,1,42,4
1,1,2,1,3,1,2,18,4
2,1,1,1,1,1,1,36,6
2,1,1,1,1,1,2,37,4
1,1,1,1,3,1,1,14,4
1,1,1,1,2,1,1,33,2
1,1,1,1,1,1,1,17,2
2,1,1,1,1,1,2,34,4
2,1,1,1,1,1,2,52,4
2,1,1,1,2,1,2,47,4
2,2,2,1,1,1,1,43,4
2,2,2,1,2,1,2,43,4
1,1,1,1,3,1,2,26,6
1,1,1,1,3,1,1,7,4
3,1,1,1,1,1,1,29,4
3,1,1,1,1,1,2,25,4
2,1,2,1,1,2,1,15,2
1,1,2,1,3,1,1,30,4
2,1,1,1,2,1,1,22,4
4,1,1,1,1,1,1,46,4
2,1,1,1,1,1,1,43,2
2,1,1,1,3,1,2,38,4
2,1,1,1,1,2,1,72,4
2,2,1,1,1,1,1,24,2
1,1,2,1,2,1,2,19,4
2,1,2,1,1,1,2,54,4
