Number of Vehicles,1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,72,Car
2,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,38,Car
2,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Serious,Male,27,Motorcycle over 50cc and up to 125cc
1,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver/Rider,Slight,Female,43,Car
1,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Male,22,Car
1,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Slight,Female,45,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,22,Car
1,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,63,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,89,Car
2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,22,Motorcycle over 50cc and up to 125cc
2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,23,Car
2,A,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Driver/Rider,Slight,Male,48,Goods vehicle 3.5 tonnes mgw and under
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,58,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,40,Car
2,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,23,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,19,Car
2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,20,Car
2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,21,Car
2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,21,Car
2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,18,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,19,Car
1,A,Wet / Damp,Daylight: street lights present,Fine with high winds,Pedestrian,Fatal,Male,61,Goods vehicle 3.5 tonnes mgw and under
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,18,M/cycle 50cc and under
1,A,Dry,Daylight: street lights present,Fine with high winds,Pedestrian,Slight,Female,30,Car
1,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Pedestrian,Slight,Male,34,Car
2,Unclassified,Wet / Damp,Daylight: street lights present,Raining with high winds,Driver/Rider,Slight,Male,34,Car
2,Unclassified,Wet / Damp,Daylight: street lights present,Raining with high winds,Driver/Rider,Slight,Male,34,Car
1,Unclassified,Dry,Darkness: street lights present and lit,Fine with high winds,Pedestrian,Slight,Female,83,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,67,Car
2,A,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Female,54,Car
2,A,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Female,21,Car
1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,29,Car
2,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Driver/Rider,Slight,Male,27,Car
2,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Passenger,Slight,Female,26,Car
1,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,11,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,21,Car
3,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,46,Car
2,Unclassified,Dry,Daylight: street lights present,Fine with high winds,Driver/Rider,Slight,Female,54,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,57,Pedal cycle
2,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,40,Car
2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,25,Pedal cycle
3,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,24,Car
1,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,20,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,25,Car
1,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,17,Motorcycle over 50cc and up to 125cc
2,A,Wet / Damp,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Male,5,Car
2,A,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver/Rider,Slight,Female,32,Car
2,A,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver/Rider,Slight,Female,53,Car
2,A,Dry,Daylight: street lights present,Fine with high winds,Driver/Rider,Slight,Male,36,Car
2,A,Dry,Daylight: street lights present,Fine with high winds,Passenger,Slight,Female,32,Car
2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,3,Car
2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,9,Car
2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,11,Car
2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,33,Car
2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,62,Car
1,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Slight,Male,48,Motorcycle over 50cc and up to 125cc
2,B,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,62,Car
2,B,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,61,Car
2,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,19,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,63,Goods vehicle 3.5 tonnes mgw and under
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,32,Bus or coach (17 or more passenger seats)
5,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,86,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,26,Car
1,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Slight,Female,41,Car
2,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,24,Car
2,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Serious,Male,38,Car
1,Unclassified,Dry,Darkness: no street lighting,Fine with high winds,Pedestrian,Slight,Male,47,Taxi/Private hire car
1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,18,Goods vehicle 7.5 tonnes mgw and over
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,32,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,24,Car
2,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,23,Pedal cycle
2,A,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Passenger,Slight,Male,26,Goods vehicle 3.5 tonnes mgw and under
2,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,15,Car
6,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,46,Car
6,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,33,Car
5,A,Snow,Daylight: street lights present,Snowing without high winds,Driver/Rider,Slight,Female,20,Car
5,A,Snow,Daylight: street lights present,Snowing without high winds,Passenger,Slight,Male,23,Car
5,A,Snow,Daylight: street lights present,Snowing without high winds,Driver/Rider,Slight,Male,26,Goods vehicle 3.5 tonnes mgw and under
2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,20,Car
2,Motorway,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver/Rider,Slight,Male,32,Car
2,Motorway,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver/Rider,Slight,Male,28,Other Vehicle 
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,52,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,68,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Female,22,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,22,Pedal cycle
1,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,79,Car
1,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,82,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,70,Bus or coach (17 or more passenger seats)
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,38,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,36,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,20,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,20,Car
2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,18,Car
2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,18,Car
1,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,32,Taxi/Private hire car
2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,57,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,30,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,65,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,55,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,37,Car
2,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,53,Car
4,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,29,Car
4,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,49,Car
1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Serious,Female,82,Bus or coach (17 or more passenger seats)
2,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,28,Pedal cycle
2,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,59,Car
2,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,37,Car
2,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,17,Car
3,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Female,28,Car
3,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,2,Car
2,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,33,Car
1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,22,Taxi/Private hire car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,44,Motorcycle over 500cc
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,35,Pedal cycle
2,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Serious,Male,51,Motorcycle over 500cc
1,Unclassified,Wet / Damp,Daylight: street lights present,Raining with high winds,Pedestrian,Slight,Male,60,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw
2,A,Wet / Damp,Daylight: street lights present,Raining with high winds,Pedestrian,Slight,Female,23,Car
2,Unclassified,Wet / Damp,Darkness: street lights present and lit,Snowing with high winds,Passenger,Slight,Male,13,Car
2,Unclassified,Wet / Damp,Darkness: street lights present and lit,Snowing with high winds,Driver/Rider,Slight,Female,45,Car
1,Unclassified,Snow,Darkness: street lights present and lit,Snowing with high winds,Pedestrian,Slight,Male,52,Car
1,Unclassified,Snow,Darkness: street lights present and lit,Snowing with high winds,Pedestrian,Slight,Male,28,Car
1,Unclassified,Snow,Darkness: street lights present and lit,Snowing with high winds,Driver/Rider,Slight,Male,70,Car
1,Motorway,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,22,Car
2,Unclassified,Wet / Damp,Darkness: street lights present and lit,Snowing with high winds,Passenger,Slight,Male,22,Car
3,Unclassified,Snow,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,33,Car
1,Unclassified,Snow,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,53,Car
1,Motorway,Wet / Damp,Daylight: street lights present,Snowing without high winds,Driver/Rider,Slight,Female,20,Car
2,A(M),Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,41,Car
2,A(M),Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Serious,Male,43,Car
2,A(M),Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,56,Car
2,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,22,Car
1,Unclassified,Snow,Daylight: street lights present,Snowing without high winds,Pedestrian,Slight,Female,38,Goods vehicle 3.5 tonnes mgw and under
2,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,41,Goods vehicle 7.5 tonnes mgw and over
2,B,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,51,Car
2,B,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,49,Car
1,Unclassified,Frost / Ice,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,38,Car
1,Unclassified,Frost / Ice,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,8,Car
1,A,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,18,Car
2,B,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,49,Taxi/Private hire car
2,B,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,47,Taxi/Private hire car
2,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,19,Car
2,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,28,Car
1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,23,Bus or coach (17 or more passenger seats)
