Number of Vehicles,1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
1,A,Dry,Daylight: street lights present,Fine with high winds,Passenger,Slight,Male,3,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,75,Car
3,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,25,Car
3,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,19,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,65,Car
2,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,44,Car
2,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Male,8,Car
3,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,24,Car
3,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,25,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,34,Pedal cycle
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,20,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,22,Pedal cycle
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,29,Pedal cycle
2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,38,Pedal cycle
1,A,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Male,48,Car
2,B,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,37,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,44,Car
3,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,25,Car
3,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,20,Car
3,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,20,Car
3,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Female,46,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,44,Pedal cycle
1,Unclassified,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Male,29,Taxi/Private hire car
3,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,4,Car
1,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,26,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,66,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,69,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,32,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,7,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,27,Car
3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,19,Car
3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,48,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,18,Car
2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,40,Car
2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,34,Car
3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,74,Minibus (8 – 16 passenger seats)
3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Male,63,Minibus (8 – 16 passenger seats)
3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,69,Minibus (8 – 16 passenger seats)
3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,72,Car
3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,70,Car
4,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,49,Goods vehicle 3.5 tonnes mgw and under
3,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,25,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,20,Car
1,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,55,Bus or coach (17 or more passenger seats)
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,32,Pedal cycle
3,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Female,18,Car
3,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,52,Car
1,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,76,Motorcycle over 125cc and up to 500cc
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,31,Pedal cycle
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,28,Motorcycle over 50cc and up to 125cc
1,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,43,Motorcycle over 500cc
2,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,26,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,48,Motorcycle over 125cc and up to 500cc
1,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,41,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,58,Motorcycle over 125cc and up to 500cc
1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,35,Goods vehicle 3.5 tonnes mgw and under
2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,18,Taxi/Private hire car
2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,33,Taxi/Private hire car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,38,Pedal cycle
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,23,Car
1,A(M),Wet / Damp,Daylight: street lights present,Raining with high winds,Driver/Rider,Slight,Female,23,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,37,Taxi/Private hire car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,38,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,82,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,23,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,58,Pedal cycle
4,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,26,Goods vehicle 3.5 tonnes mgw and under
4,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,44,Tram / Light rail
4,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,44,Tram / Light rail
4,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,47,Tram / Light rail
3,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,57,Car
3,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,78,Goods vehicle 3.5 tonnes mgw and under
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,9,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,25,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,33,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,42,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,25,Pedal cycle
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,37,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,20,Car
3,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,27,Car
3,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,30,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,51,Pedal cycle
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,47,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,2,Bus or coach (17 or more passenger seats)
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,19,Bus or coach (17 or more passenger seats)
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,32,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,87,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,17,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,67,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,25,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,5,Car
3,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,33,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,37,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,24,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Female,16,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,61,Motorcycle over 500cc
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,31,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,34,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,33,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,12,Pedal cycle
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,3,Car
1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,32,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,3,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,7,Car
2,B,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,12,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,38,Pedal cycle
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,35,Bus or coach (17 or more passenger seats)
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,80,Bus or coach (17 or more passenger seats)
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,25,Bus or coach (17 or more passenger seats)
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,63,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,55,Pedal cycle
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,30,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,42,Pedal cycle
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,51,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,11,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,53,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,51,Bus or coach (17 or more passenger seats)
3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,23,Car
3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,27,Car
3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,37,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,18,Motorcycle over 50cc and up to 125cc
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,19,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,18,Car
3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,31,Car
3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,9,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,59,Pedal cycle
1,B,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,44,Bus or coach (17 or more passenger seats)
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,20,Motorcycle over 50cc and up to 125cc
2,A(M),Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,49,Goods vehicle 3.5 tonnes mgw and under
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,53,Bus or coach (17 or more passenger seats)
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,57,Bus or coach (17 or more passenger seats)
3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,83,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,16,Pedal cycle
3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,54,Car
3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,42,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,55,Goods vehicle 3.5 tonnes mgw and under
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,4,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,84,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,40,Car
1,Unclassified,Dry,Daylight: street lights present,Fog or mist – if hazard,Driver/Rider,Slight,Male,37,Bus or coach (17 or more passenger seats)
1,Unclassified,Dry,Daylight: street lights present,Fog or mist – if hazard,Passenger,Slight,Female,31,Bus or coach (17 or more passenger seats)
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,42,Pedal cycle
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,17,Motorcycle over 50cc and up to 125cc
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,28,Pedal cycle
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,39,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,32,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,55,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,64,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,24,Pedal cycle
1,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,23,Car
2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,59,Car
2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,30,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,10,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,83,Bus or coach (17 or more passenger seats)
2,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,70,Bus or coach (17 or more passenger seats)
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,73,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,43,Taxi/Private hire car
2,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,44,Car
2,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,12,Car
2,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,14,Car
1,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,25,Pedal cycle
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,40,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,42,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,35,Goods vehicle 3.5 tonnes mgw and under
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,27,Pedal cycle
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,5,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,21,Car
1,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,28,Bus or coach (17 or more passenger seats)
1,B,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,12,Goods vehicle 3.5 tonnes mgw and under
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,44,Motorcycle over 125cc and up to 500cc
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,12,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,38,Car
1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,19,Taxi/Private hire car
1,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,26,Bus or coach (17 or more passenger seats)
3,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,47,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,34,Pedal cycle
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,44,Pedal cycle
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,21,Pedal cycle
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,70,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,57,Pedal cycle
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,33,Car
1,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,39,Bus or coach (17 or more passenger seats)
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,44,Bus or coach (17 or more passenger seats)
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,24,Pedal cycle
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,43,Taxi/Private hire car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,43,Taxi/Private hire car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,14,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,50,Pedal cycle
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,23,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,53,Car
2,A(M),Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,57,Car
5,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,27,Car
5,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,27,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,25,Pedal cycle
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,38,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,21,Bus or coach (17 or more passenger seats)
2,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,44,Car
3,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,52,Car
1,B,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,52,Car
1,B,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,51,Car
1,A,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Serious,Male,34,Car
1,Unclassified,Wet / Damp,Daylight: street lights present,Unknown,Pedestrian,Slight,Female,23,Other Vehicle 
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,27,Pedal cycle
1,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,54,Car
1,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,8,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,5,Car
2,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Serious,Male,42,Pedal cycle
2,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,40,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,50,Pedal cycle
2,A(M),Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,22,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,55,Motorcycle over 500cc
2,B,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Fatal,Male,38,Motorcycle over 500cc
2,B,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Serious,Female,33,Motorcycle over 500cc
1,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Serious,Male,20,Taxi/Private hire car
2,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Female,21,Motorcycle over 50cc and up to 125cc
3,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Female,19,Car
3,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Female,34,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,49,Pedal cycle
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,9,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,56,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,56,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,45,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,45,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,45,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Male,17,Motorcycle over 50cc and up to 125cc
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Male,19,Motorcycle over 50cc and up to 125cc
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,40,Car
5,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,54,Car
5,Motorway,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,52,Car
5,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,42,Car
5,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,55,Goods vehicle 3.5 tonnes mgw and under
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,45,Car
2,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,41,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,45,Car
3,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,24,Car
3,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,19,Car
1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,15,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,31,Motorcycle over 50cc and up to 125cc
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,23,Motorcycle over 50cc and up to 125cc
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,39,Pedal cycle
3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,34,Car
2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,20,Car
2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,18,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,37,Pedal cycle
1,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Slight,Female,12,Car
3,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Female,25,Pedal cycle
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,70,Car
3,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,53,Car
3,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,45,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,11,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,27,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,43,Taxi/Private hire car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,18,Taxi/Private hire car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,16,Taxi/Private hire car
1,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,33,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,6,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,43,Car
3,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,23,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,55,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,20,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,55,Other Vehicle 
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,34,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,55,Motorcycle over 50cc and up to 125cc
2,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,51,Bus or coach (17 or more passenger seats)
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,27,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,21,Motorcycle over 50cc and up to 125cc
